Train No,Station,Arrival time,Actual arrival delay,Delay
101,1,10,10.07,7
102,2,12,12.44,44
103,3,10.45,10.55,10
104,4,8.15,8.59,44
105,5,2.5,3.1,15
106,6,5,5.4,40
107,7,11.3,11.44,14
108,8,10.2,10.55,35
109,9,9,9.52,52
101,1,10,10.59,59
102,2,12,12.59,59
105,5,2.5,2.57,7
101,1,10,11.17,77
102,2,12,12.4,4
103,3,10.45,11.6,61
104,4,8.15,8.37,22
105,1,2.5,3.06,16
106,6,5,5.12,12
107,7,11.3,1.33,123
108,8,10.2,10.31,11
109,9,9,9.59,59
101,1,10,10.33,33
102,2,12,12.59,59
105,5,2.5,4.02,72
101,1,10,10.77,77
102,2,12,12.14,14
103,3,10.45,11.55,70
104,4,8.15,9.2,65
105,5,2.5,3.1,15
106,6,5,5.4,40
107,7,11.3,11.44,14
108,8,10.2,10.55,35
109,9,9,9.2,20
101,1,10,10.59,59
102,2,12,12.59,59
105,5,2.5,2.57,7
101,1,10,10.17,17
102,2,12,12.4,4
103,3,10.45,10.5,5
104,4,8.15,8.37,22
105,5,2.5,3.06,16
106,6,5,5.59,59
107,7,11.3,11.31,1
108,8,10.2,10.31,11
109,9,9,9.32,32
101,1,10,10.03,3
102,2,12,12.59,59
105,5,2.5,4.02,72
101,1,10,10.07,7
102,2,12,12.14,14
103,3,10.45,10.47,2
104,4,8.15,8.2,5
105,5,2.5,3.1,15
106,6,5,5.4,40
107,7,11.3,11.44,14
108,8,10.2,10.55,35
109,9,9,9.21,21
101,1,10,10.59,59
102,2,12,12.33,33
105,5,2.5,2.57,7
101,1,10,10.17,17
102,2,12,12.4,4
103,3,10.45,10.5,5
104,4,8.15,8.37,22
105,5,2.5,3.06,16
106,6,5,5.59,59
107,7,11.3,11.33,3
108,8,10.2,10.31,11
109,9,9,9.32,32
101,1,10,10.03,3
102,2,12,12.59,59
105,5,2.5,4.02,72
101,1,10,10.07,7
102,2,12,12.14,14
103,3,10.45,10.46,1
104,4,8.15,8.2,5
105,5,2.5,3.1,15
106,6,5,5.4,40
107,7,11.3,11.44,14
108,8,10.2,10.55,35
109,9,9,9.02,2
101,1,10,10.27,27
102,2,12,12.33,33
105,5,2.5,2.57,7
101,1,10,10.17,17
